stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,stop_timezone,wheelchair_boarding,platform_code
150215,9924,Avent Ferry Rd at Avery Close Apt,,35.773927745,-78.68275016,,0,,0,
150200,8562,Avent Ferry Rd at Brigadoon Dr (NB),,35.770567,-78.688106,,0,,0,
150217,8530,Avent Ferry Rd at Brigadoon Dr (SB),,35.77029024,-78.689087917,,0,,0,
150186,153,Avent Ferry Rd at Centennial Pkwy (inbound),,35.777513989,-78.67805109,,0,,0,
150164,8332,Avent Ferry Rd at Centennial Pkwy (SB),,35.776930978,-78.678771699,,0,,0,
154268,8564,Avent Ferry Rd at Centennial View Lane,,35.773297845,-78.683167481,,0,,0,
150216,8529,Avent Ferry Rd at Crest Rd (SB),,35.771637468,-78.686356667,,0,,0,
150219,167,Avent Ferry Rd at Gorman St,,35.768538078,-78.693817218,,0,,0,
150199,8561,Avent Ferry Rd at Trailwood Dr (EB),,35.76929532,-78.690772109,,0,,0,
150198,9096,Avent Ferry Rd at Trailwood Dr (NB),,35.768668698,-78.692194863,,0,,0,
150218,9604,Avent Ferry Rd at Trailwood Dr (SB),,35.769363475,-78.690984525,,0,,0,
150214,8528,Avent Ferry Rd at Varsity Dr (SB),,35.775125497,-78.681513748,,0,,0,
159135,8566,Avent Ferry Rd at Western Blvd (NB),,35.779347927,-78.676536307,,0,,1,
150163,8526,Avent Ferry Rd at Western Blvd (SB),,35.780073169,-78.676246999,,0,,0,
150155,278,Barbour Dr at Spring Hill Lot,,35.774122516,-78.666675701,,0,,0,
183181,272,Bilyeu St at Barbour Dr,,35.777244459,-78.665821478,,0,,0,
179279,8129,Blue Ridge Rd at Trinity Rd (NB),,35.79797,-78.70756,,0,,0,
162041,999,Bus Yard,,35.790895922,-78.736918793,,0,,0,
181320,901,Carter Finley Park & Ride (State Fair),,35.802421902,-78.715659604,,0,,0,
150232,206,Carter-Finley Park & Ride,,35.800226877,-78.71671816,,0,,0,
